FID,id,The_geom,nome,tipo,data_inaug,status,endereco,bairro,cod_bairro,regional,territorio,orgao,inaugurado,fonte,epsg_codf,x,y,ano_ref
vw_Areninhas.fid--780b70dd_194f2cc3853_-2334,82,POINT (-38.484104222209154 -3.7451117717988582),Areninha Parque do Cocó,Areninha,2019-12-13,Concluído,Av. Padre Antônio Tomás (Parque do Cocó),Cocó,11,SER 7,23,GOV/SEMA,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,557285.283,9586029.862,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2333,83,POINT (-38.51147608863454 -3.772762962489488),Areninha Raul Barbosa,Areninha,2020-11-06,Concluído,"Av. Raul Barbosa, s/n",Aerolândia,91,SER 6,26,GOV/SEMA,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,554244.115,9582975.072,2022
vw_Areninhas.fid--780b70dd_194f2cc3853_-2332,84,POINT (-38.46992475465965 -3.827603338915978),Areninha Curió,Areninha,2020-09-26,Concluído,"Av. Professor José Arthur de Carvalho, s/n",Lagoa Redonda,63,SER 6,29,GOV/SEMA,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,558854.25,9576910.338,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2331,85,POINT (-38.52190340081556 -3.8042046174390203),Areninha Castelão,Areninha,2018-06-11,Concluído,Av. Alberto Craveiro,Boa Vista,125,SER 8,20,GOV,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,553084.357,9579500.194,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-2330,86,POINT (-38.50218637833005 -3.7813178721843297),Areninha Lagoa da Zeza,Areninha,2021-10-22,Concluído,"Avenida Rogaciano Leite, 2580,  com rua Padre Francisco Pita",Jardim das Oliveiras,62,SER 6,27,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,555275.0993,9582028.8368,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-232f,87,POINT (-38.488614128122876 -3.8321053524700313),Areninha Campo do Murilão,Areninha,2021-10-25,Concluído,Rua Doutor Pergentino Maia com Rua Antônio de Barros,Messejana,65,SER 6,28,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,556778.8167,9576413.9473,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-232e,88,POINT (-38.473596500026844 -3.7949241566587815),Areninha Alvorada,Areninha,2021-10-26,Concluído,Avenida Conselheiro Gomes de Freitas com rua Bill Cartaxo,Sapiranga,64,SER 7,25,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,558448.7711,9580522.933,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-232d,89,POINT (-38.498699674432 -3.835755484162765),Areninha Paulo Benevides,Areninha,2021-11-03,Concluído,"Rua Angélica Gurgel, n° 227",Messejana,65,SER 6,28,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,555658.7606,9576011.126,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-232c,90,POINT (-38.58030772913408 -3.718504296548897),Areninha Jardim Iracema,Areninha,2021-11-09,Concluído,"Rua Conselheiro Lafaiete, n° 244",Floresta,17,SER 1,6,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,546603.9951,9588976.6888,2021
vw_Areninhas.fid--780b70dd_194f2cc3853_-232b,91,POINT (-38.515824616065785 -3.8024627464528296),Areninha Boa Vista,Areninha,2021-11-11,Concluído,Rua Humberto Holanda Cassundé,Boa Vista,125,SER 8,20,PMF,Sim,SECEL,SIRGAS 2000 - UTM Zone 24S (EPSG: 31984); Codificação: UTF-8,553759.4248,9579692.3628,2021
